Date,Close
3/28/2016,74.08
3/29/2016,75.38
3/30/2016,76.78
3/31/2016,76.48
4/1/2016,77.59
4/4/2016,77.83
4/5/2016,76.97
4/6/2016,78.21
4/7/2016,77.58
4/8/2016,78.03
4/11/2016,77.82
4/12/2016,78.52
4/13/2016,79.71
4/14/2016,80.33
4/15/2016,80.08
4/18/2016,81.45
4/19/2016,80.75
4/20/2016,81.15
4/21/2016,80.79
4/22/2016,79.11
4/25/2016,78.14
4/26/2016,78.53
4/27/2016,78.76
4/28/2016,77.68
4/29/2016,77.24
5/2/2016,78.46
5/3/2016,77.19
5/4/2016,77.19
5/5/2016,77.36
5/6/2016,77.72
5/9/2016,78.22
5/10/2016,79.2
5/11/2016,77.3
5/12/2016,77.89
5/13/2016,76.83
5/16/2016,77.8
5/17/2016,76.79
5/18/2016,77.43
5/19/2016,76.88
5/20/2016,77.67
5/23/2016,77.21
5/24/2016,79.38
5/25/2016,79.06
5/26/2016,79
5/27/2016,79.66
5/31/2016,78.94
6/1/2016,79.22
6/2/2016,79.95
6/3/2016,79.94
6/6/2016,80.54
6/7/2016,80.6
6/8/2016,81.65
6/9/2016,81.26
6/10/2016,80.18
6/13/2016,78.4
6/14/2016,78.57
6/15/2016,78.17
6/16/2016,78.35
6/17/2016,76.99
6/20/2016,77.34
6/21/2016,77.33
6/22/2016,76.53
6/23/2016,78.23
6/24/2016,75.05
6/27/2016,73.34
6/28/2016,75.16
6/29/2016,76.74
6/30/2016,74.17
7/1/2016,74.48
7/5/2016,74.67
7/6/2016,74.06
7/7/2016,74.06
7/8/2016,76.42
7/11/2016,76.52
7/12/2016,77.48
7/13/2016,77.46
7/14/2016,78.14
7/15/2016,78.3
7/18/2016,78.31
7/19/2016,78.72
7/20/2016,79.36
7/21/2016,78.79
7/22/2016,79.91
7/25/2016,78.94
7/26/2016,78.49
7/27/2016,78.53
7/28/2016,79.19
7/29/2016,78.05
8/1/2016,78.26
8/2/2016,78.28
8/3/2016,78.71
8/4/2016,79.48
8/5/2016,80.14
8/8/2016,79.95
